age,employ,address,income,debtinc,creddebt,othdebt,ed,default
41,17,12,46.7,9.3,1.6,5.008608,2,1
27,10,6,31,17.3,1.362202,4.000798,0,0
40,15,14,55,5.5,0.856075,2.168925,0,0
41,15,14,46.7,2.9,2.65872,0.82128,0,0
24,2,0,28,17.3,1.787436,3.056564,1,1
41,5,5,25,10.2,0.3927,2.1573,1,0
39,20,9,67,10.2,3.833874,3.1,0,0
43,12,11,38,3.6,0.128592,1.239408,0,0
24,3,4,19,24.4,1.358348,3.277652,0,1
36,0,13,25,19.7,2.7777,2.1473,0,0
27,0,1,16,1.7,0.182512,0.089488,0,0
25,4,0,23,5.2,0.252356,0.943644,0,0
52,24,14,64,10,3.9296,2.4704,0,0
37,6,9,29,16.3,1.715901,3.011099,0,0
48,22,15,100,9.1,3.7037,5.3963,0,0
36,9,6,49,8.6,0.817516,3.396484,1,1
36,13,6,41,16.4,2.918216,3.805784,1,1
43,23,19,72,7.6,1.181952,4.290048,0,0
39,6,9,61,5.7,0.563274,2.913726,0,0
41,0,21,26,1.7,0.099008,0.342992,2,0
39,22,3,52,3.2,1.154816,0.509184,0,0
47,17,21,43,5.6,0.587552,1.820448,0,0
28,3,6,26,10,0.4316,2.1684,0,0
29,8,6,27,9.8,0.402192,2.243808,0,0
21,1,2,16,18,0.24192,2.63808,1,1
25,0,2,32,17.6,2.14016,3.49184,2,0
45,9,8.4,69,6.7,0.707319,3.915681,1,0
43,25,21,64,16.7,0.951232,3.1,0,0
33,12,8,58,18.4,3.084208,7.587792,1,0
26,2,1,37,14.2,0.204906,5.049094,2,0
45,3,15,20,2.1,0.105,0.315,0,0
30,1,10,22,10.5,1.13883,1.17117,0,0
27,2,7,26,6,0.72228,0.83772,2,0
25,8,4,27,14.4,1.018656,2.869344,0,0
25,8,1,35,2.9,0.07714,0.93786,0,0
26,6,7,45,26,1.6,5.6511,1,0
30,10,4,22,16.1,1.409716,2.132284,1,0
32,12,1,54,14.4,3.195936,4.580064,1,0
28,1,8,24,17.1,1.337904,2.766096,1,1
45,23,5,50,4.2,0.5586,1.5414,0,0
23,7,2,31,6.6,0.33759,1.70841,0,0
34,17,3,59,8,1.80776,2.91224,0,0
42,7,23,41,4.6,0.941114,0.944886,1,0
39,19,5,48,13.1,1.930416,4.357584,0,0
26,0,0,14,7.5,0.3024,0.7476,0,1
21,0,1,16,6.8,0.150144,0.937856,1,0
35,13,15,35,4.5,0.43155,1.14345,0,0
47,4,2,26,10.4,0.12168,2.58232,0,0
23,0,2,21,11.4,0.775656,1.618344,1,1
35,18,2,42,7.4,0.205128,2.902872,0,0
34,2,11,25,12.6,0.5733,2.5767,0,1
46,1,12,20,14,0.8092,1.9908,0,0
46,16,18,52,12.9,3.032016,3.675984,0,1
38,3,18,25,3.7,0.311725,0.613275,2,0
40,3,2,28,9.5,0.55328,2.10672,1,0
37,1,3,24,15.1,1.801128,1.822872,0,1
35,9,1,34,5,0.3978,1.3022,0,0
39,16,13,69,2.4,1.061496,0.594504,1,0
40,18,6,100,2.5,1.485,1.015,2,0
50,10,20,80,12.2,2.47904,7.28096,2,0
31,9,10,28,2.4,0.047712,0.624288,0,0
29,13,1,42,7.4,1.457652,1.650348,0,1
37,4,0,23,12.4,0.86986,1.98214,0,0
33,4,9,55,7,2.15985,1.69015,1,0
26,5,7,28,7.8,1.024296,1.159704,1,0
32,11,6,75,23.3,1.6,3.1,1,1
28,2,3,23,6.4,0.186944,1.285056,1,1
39,19,8,46,9.1,2.515786,1.670214,0,0
28,8,3,31,8.2,1.492154,1.049846,1,1
29,1,2,20,18.6,0.56916,3.15084,0,1
34,3,8,21,23.1,1.401939,3.449061,1,0
28,5,9,34,23.8,3.099236,4.992764,1,0
47,26,21,100,12.8,1.6,3.1,0,0
43,1,5,26,10.6,1.518556,1.237444,2,0
41,13,10,44,1.7,0.07106,0.67694,0,0
47,13,25,51,23.8,3.738504,3.1,0,0
24,2,1,21,0.6,0.025074,0.100926,0,0
29,1,9,17,6.7,0.157182,0.981818,0,0
33,14,2,37,2.6,0.199134,0.762866,0,0
36,15,10,39,3.2,0.6864,0.5616,0,0
26,4,3,27,10.5,2.47212,0.36288,0,1
31,11,12,45,17,2.7387,4.9113,0,0
37,7,3,32,19.6,2.69696,3.57504,0,0
35,4,16,29,11,1.84382,1.34618,2,0
26,4,3,20,5.4,0.3186,0.7614,0,0
40,10,15,45,18.8,2.01348,6.44652,0,0
29,5,4,36,12.4,3.490848,0.973152,1,1
37,5,17,29,24.6,1.405398,5.728602,2,0
32,12,12,28,2.9,0.116116,0.695884,0,0
23,0,1,17,10.2,2.043706,2.665294,1,1
32,3,10,23,6.2,0.052762,1.373238,0,0
25,1,6,15,11.4,0.37107,1.33893,0,1
38,5,5,54,10.6,1.499688,4.224312,0,0
32,0,6,18,5.8,0.296496,0.747504,1,1
41,2,0,15,26.3,1.960665,1.984335,2,1
36,17,6,54,4.4,0.727056,1.648944,0,0
42,13,0,82,3.3,1.315116,1.390884,2,0
41,14,8,52,7.3,0.926224,2.869776,0,0
29,4,9,19,6.3,0.681093,0.515907,1,0
38,4,6,31,9.3,1.331946,1.551054,2,1
39,22,9,46.7,2.6,0.987168,1.950832,0,0
36,6,9,26,8.3,0.030212,2.127788,0,0
33,8,7,27,5.8,0.776736,0.789264,0,0
42,21,11,46.7,3.1,1.365364,2.385636,1,0
41,22,17,75,23.6,1.6,7.8234,1,0
40,8,17,28,3.6,0.53424,0.47376,0,0
53,9,18,50,11.2,2.016,3.584,0,1
28,4,7,26,13.5,1.29519,2.21481,0,0
36,12,13,60,7.9,1.72062,3.01938,1,0
34,9,13,45,10.1,1.11807,3.42693,1,0
45,2,5,39,4.9,0.45864,1.45236,2,0
38,6,0,41,8.9,0.266377,3.382623,0,0
21,0,2,24,7.7,0.833448,1.014552,2,0
42,12,11,51,21.4,2.411994,3.1,0,0
52,16,25,64,8.6,1.865856,3.638144,0,0
25,4,6,33,5.2,0.552552,1.163448,1,0
34,9,9,65,6.2,2.10769,1.92231,1,0
40,15,16,73,3.4,1.032512,1.449488,1,0
31,0,4,27,12.8,1.08864,2.36736,1,1
25,1,0,20,6.7,0.47168,0.86832,0,1
45,12,19,37,9.5,1.34273,2.17227,0,0
23,3,0,19,8.4,0.2793,1.3167,0,1
34,6,3,27,10.2,1.982448,7.548552,2,1
31,2,4,22,12.7,1.092454,1.701546,0,1
28,5,9,22,2.8,0.140448,0.475552,0,0
41,7,11,43,4.4,0.694364,1.197636,0,0
39,7,2,68,13,1.0166,7.8234,1,1
29,9,3,36,1.4,0.127008,0.376992,1,0
21,5,1,25,9,0.36675,1.88325,0,0
41,19,2,68,5.8,1.506608,2.437392,1,0
26,1,7,27,2.9,0.311634,0.471366,2,0
33,5,10,18,12.9,0.984528,1.337472,0,0
45,18,19,35,17.4,0.5481,5.5419,1,0
39,17,20,60,13.7,2.44956,5.77044,0,0
24,7,2,21,6.3,0.519939,0.803061,0,0
29,6,7,57,2.2,0.452694,0.801306,1,0
27,1,0,23,12.4,0.2852,2.5668,1,0
40,13,2,28,5.9,0.964768,0.687232,0,0
29,8,10,24,6.7,0.469536,1.138464,0,0
29,4,3,37,6.6,1.15995,1.28205,1,1
24,0,2,16,16,1.00864,1.55136,0,1
27,9,6,45,17.8,2.85156,5.15844,0,1
41,16,22,46.7,4.4,1.2771,4.6629,2,0
31,11,8,25,9.1,0.14105,2.13395,0,0
41,16,17,68,5.4,0.447984,3.224016,0,0
42,5,3,41,3.4,0.35547,1.03853,1,0
